"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","217","TeacherControllerTests.Deve_Retornar_404_Se_Professor_Nao_Existe","","Tue Jun 17 20:11:29 BRT 2025","failed","Tue Jun 17 20:11:30 BRT 2025","","","TeacherControllerTests","TeacherControllerTests.Deve_Retornar_404_Se_Professor_Nao_Existe"
"","1","SubjectControllerTests.Nao_Deve_Associar_Disciplina_Duplicada","","Tue Jun 17 20:11:28 BRT 2025","passed","Tue Jun 17 20:11:28 BRT 2025","","","SubjectControllerTests","SubjectControllerTests.Nao_Deve_Associar_Disciplina_Duplicada"
"","514","TeacherControllerTests.Deve_Retornar_400_Se_Nota_For_Invalida","","Tue Jun 17 20:11:29 BRT 2025","failed","Tue Jun 17 20:11:29 BRT 2025","","","TeacherControllerTests","TeacherControllerTests.Deve_Retornar_400_Se_Nota_For_Invalida"
"","196","StudiesGroupControllerTests.Performance_LoadStudiesGroup_100_Requisicoes","","Tue Jun 17 20:11:29 BRT 2025","passed","Tue Jun 17 20:11:30 BRT 2025","","","StudiesGroupControllerTests","StudiesGroupControllerTests.Performance_LoadStudiesGroup_100_Requisicoes"
"","14","SubjectControllerTests.Deve_Criar_Disciplina_E_Associar_Turma","","Tue Jun 17 20:11:28 BRT 2025","passed","Tue Jun 17 20:11:28 BRT 2025","","","SubjectControllerTests","SubjectControllerTests.Deve_Criar_Disciplina_E_Associar_Turma"
"","20","StudiesGroupControllerTests.Contract_LoadStudiesGroup_Deve_Retornar_Estrutura_Valida","","Tue Jun 17 20:11:30 BRT 2025","passed","Tue Jun 17 20:11:30 BRT 2025","","","StudiesGroupControllerTests","StudiesGroupControllerTests.Contract_LoadStudiesGroup_Deve_Retornar_Estrutura_Valida"
"","365","StudentControllerTests.Nao_Deve_Cadastrar_Aluno_Com_CPF_Duplicado","","Tue Jun 17 20:11:29 BRT 2025","failed","Tue Jun 17 20:11:30 BRT 2025","","Student Controller","StudentControllerTests","StudentControllerTests.Nao_Deve_Cadastrar_Aluno_Com_CPF_Duplicado"
"","84","StudentServiceTests.Performance_GetRanking_perStudent_100_Requisicoes","","Tue Jun 17 20:11:30 BRT 2025","passed","Tue Jun 17 20:11:30 BRT 2025","","","StudentServiceTests","StudentServiceTests.Performance_GetRanking_perStudent_100_Requisicoes"
"","652","StudentControllerTests.Deve_Retornar_404_Para_Aluno_Inexistente","","Tue Jun 17 20:11:29 BRT 2025","passed","Tue Jun 17 20:11:29 BRT 2025","","Student Controller","StudentControllerTests","StudentControllerTests.Deve_Retornar_404_Para_Aluno_Inexistente"
"","75","StudentServiceTests.GetRanking_perStudent_Deve_Lancar_ArgumentException_Se_Filtros_Invalidos","","Tue Jun 17 20:11:29 BRT 2025","failed","Tue Jun 17 20:11:30 BRT 2025","","","StudentServiceTests","StudentServiceTests.GetRanking_perStudent_Deve_Lancar_ArgumentException_Se_Filtros_Invalidos"
"","1","RankingControllerTests.Deve_Visualizar_Ranking_Geral_Turma","","Tue Jun 17 20:11:28 BRT 2025","passed","Tue Jun 17 20:11:28 BRT 2025","","","RankingControllerTests","RankingControllerTests.Deve_Visualizar_Ranking_Geral_Turma"
"","73","StudentServiceTests.Performance_GetRanking_per_Class_50_Chamadas_Sequenciais","","Tue Jun 17 20:11:30 BRT 2025","passed","Tue Jun 17 20:11:30 BRT 2025","","","StudentServiceTests","StudentServiceTests.Performance_GetRanking_per_Class_50_Chamadas_Sequenciais"
"","29","StudiesGroupControllerTests.Contract_LoadPostages_Deve_Retornar_Postagens_Validas","","Tue Jun 17 20:11:30 BRT 2025","broken","Tue Jun 17 20:11:30 BRT 2025","","","StudiesGroupControllerTests","StudiesGroupControllerTests.Contract_LoadPostages_Deve_Retornar_Postagens_Validas"
"","160","TeacherControllerTests.Deve_Retornar_400_Se_Parametros_De_Matriculas_Forem_Nulos","","Tue Jun 17 20:11:29 BRT 2025","passed","Tue Jun 17 20:11:29 BRT 2025","","","TeacherControllerTests","TeacherControllerTests.Deve_Retornar_400_Se_Parametros_De_Matriculas_Forem_Nulos"
"","9","StudentControllerTests.Deve_Cadastrar_Aluno_Com_Dados_Validos","","Tue Jun 17 20:11:30 BRT 2025","passed","Tue Jun 17 20:11:30 BRT 2025","","Student Controller","StudentControllerTests","StudentControllerTests.Deve_Cadastrar_Aluno_Com_Dados_Validos"
"","30","StudentServiceTests.GetRanking_perUnit_Deve_Retornar_Sucesso_Se_SubjectId_Nulo","","Tue Jun 17 20:11:30 BRT 2025","failed","Tue Jun 17 20:11:30 BRT 2025","","","StudentServiceTests","StudentServiceTests.GetRanking_perUnit_Deve_Retornar_Sucesso_Se_SubjectId_Nulo"
"","5","StudentServiceTests.GetRanking_per_Class_Deve_Lancar_ArgumentException_Se_Filtros_Invalidos","","Tue Jun 17 20:11:29 BRT 2025","passed","Tue Jun 17 20:11:29 BRT 2025","","","StudentServiceTests","StudentServiceTests.GetRanking_per_Class_Deve_Lancar_ArgumentException_Se_Filtros_Invalidos"
"","183","RankingControllerTests.Deve_Visualizar_Ranking_Por_Disciplina","","Tue Jun 17 20:11:28 BRT 2025","passed","Tue Jun 17 20:11:28 BRT 2025","","","RankingControllerTests","RankingControllerTests.Deve_Visualizar_Ranking_Por_Disciplina"
"","682","StudiesGroupControllerTests.Performance_LoadPostages_50_Paginas","","Tue Jun 17 20:11:29 BRT 2025","failed","Tue Jun 17 20:11:29 BRT 2025","","","StudiesGroupControllerTests","StudiesGroupControllerTests.Performance_LoadPostages_50_Paginas"
"","30","StudentControllerTests.Deve_Retornar_Aluno_Por_Id","","Tue Jun 17 20:11:30 BRT 2025","broken","Tue Jun 17 20:11:30 BRT 2025","","Student Controller","StudentControllerTests","StudentControllerTests.Deve_Retornar_Aluno_Por_Id"
